index,book_name,author,author_rating,book_average_rating,book_ratings_count,genre,gross_sales,publisher_revenue,sale_price,sales_rank,publisher,units_sold,author_rating_score,author_popularity_score,profit_margin,revenue_per_unit,rating_weighted
168,Vingt Mille Lieues Sous les Mers,"Jules Verne, Anthony Bonner",Intermediate,3.86,121112,fiction,3540.25,0.0,5.95,181,"Amazon Digital Services,  Inc.",595,2,3.7912763047394624,3540.25,0.0,467492.32
169,The Constant Princess,Philippa Gregory,Intermediate,3.88,124786,fiction,3564.05,2138.43,5.99,181,Penguin Group (USA) LLC,595,2,3.8024677375926044,1425.6200000000003,3.594,484169.68
170,Mrs Dalloway,"Virginia Woolf, Maureen Howard",Intermediate,3.78,136327,fiction,1174.1,704.46,1.99,182,"Amazon Digital Services,  Inc.",590,2,3.787834025376069,469.6399999999999,1.1940000000000002,515316.06
171,HundraÃ¥ringen som klev ut genom fÃ¶nstret och fÃ¶rsvann,"Jonas Jonasson, Rod Bradbury",Intermediate,3.81,92275,fiction,5200.65,3120.39,8.89,183,Macmillan,585,2,3.729035504146389,2080.2599999999998,5.334,351567.75
172,Bag of Bones,Stephen King,Intermediate,3.87,131004,fiction,569.25,0.0,0.99,185,"Amazon Digital Services,  Inc.",575,2,3.8079151485858795,569.25,0.0,506985.48000000004
173,The Cider House Rules,John Irving,Intermediate,4.1,124876,fiction,1134.3,0.0,1.99,186,"Amazon Digital Services,  Inc.",570,2,3.868592982738286,1134.3,0.0,511991.6
174,Thinner,"Richard Bachman, Stephen King",Intermediate,3.66,130219,fiction,1659.45,0.0,2.99,189,"Amazon Digital Services,  Inc.",555,2,3.7438710764043512,1659.45,0.0,476601.54000000004
175,Le tour du monde en quatre-vingts jours,"Jules Verne, Michael Glencross, Brian W. Aldiss",Intermediate,3.9,117108,fiction,4434.45,2660.67,7.99,189,Penguin Group (USA) LLC,555,2,3.797436109011492,1773.7799999999997,4.7940000000000005,456721.2
176,Walk Two Moons,Sharon Creech,Intermediate,3.95,129350,nonfiction,544.5,326.7,0.99,190,"Amazon Digital Services,  Inc.",550,2,3.829707916221576,217.8,0.594,510932.5
177,Onze minutos,"Paulo Coelho, Margaret Jull Costa",Intermediate,3.69,102206,fiction,534.6,0.0,0.99,192,"Amazon Digital Services,  Inc.",540,2,3.7107922563909703,534.6,0.0,377140.14
178,Nine Stories,J.D. Salinger,Intermediate,4.19,105138,fiction,2154.6,0.0,3.99,192,"Amazon Digital Services,  Inc.",540,2,3.865705536812939,2154.6,0.0,440528.22000000003
179,"Julie & Julia: 365 Days, 524 Recipes, 1 Tiny Apartment Kitchen",Julie Powell,Intermediate,3.67,121373,nonfiction,1599.65,959.79,2.99,193,Random House LLC,535,2,3.7346502659119785,639.8600000000001,1.794,445438.91
180,Unwind,Neal Shusterman,Intermediate,4.18,143892,fiction,524.7,314.82,0.99,194,Macmillan,530,2,3.9172158668857815,209.88000000000005,0.594,601468.5599999999
181,"Drums of Autumn (Outlander, #4)",Diana Gabaldon,Intermediate,4.34,123736,nonfiction,1024.85,614.91,1.99,197,"Amazon Digital Services,  Inc.",515,2,3.9389998329417684,409.93999999999994,1.194,537014.24
182,Prodigy,Marie Lu,Intermediate,4.29,149702,fiction,1524.9,0.0,2.99,198,"Amazon Digital Services,  Inc.",510,2,3.9570922014208305,1524.9,0.0,642221.58
183,The Tragedie of King Lear,William Shakespeare,Intermediate,3.89,135448,fiction,2014.95,1208.97,3.99,199,"Amazon Digital Services,  Inc.",505,2,3.8197103212195533,805.98,2.394,526892.72
184,Death of a Salesman,Arthur Miller,Novice,3.49,132061,fiction,5433.18,3259.908,10.91,201,Penguin Group (USA) LLC,498,1,3.395311148046784,2173.2720000000004,6.545999999999999,460892.89
185,The Choice,Nicholas Sparks,Intermediate,3.99,93479,fiction,1483.04,0.0,2.99,202,"Amazon Digital Services,  Inc.",496,2,3.785287481488076,1483.04,0.0,372981.21
187,The Sound and the Fury,William Faulkner,Intermediate,3.86,124665,fiction,2445.1,1467.06,4.99,206,Hachette Book Group,490,2,3.7962992100176893,978.04,2.9939999999999998,481206.89999999997
188,A New Earth: Awakening to Your Life's Purpose,Eckhart Tolle,Intermediate,4.02,106211,fiction,483.12,289.872,0.99,207,"Amazon Digital Services,  Inc.",488,2,3.8164694347183987,193.248,0.5940000000000001,426968.22
189,BLEACHâ€•ãƒ–ãƒªãƒ¼ãƒâ€•ã€€1,Tite Kubo,Intermediate,4.21,120004,fiction,2605.92,1563.552,5.34,207,Penguin Group (USA) LLC,488,2,3.8946797365096226,1042.3680000000002,3.2039999999999997,505216.83999999997
191,The Shadow Rising ,Robert Jordan,Intermediate,4.21,122524,nonfiction,2057.58,1234.548,4.26,210,HarperCollins Publishing,483,2,3.8982898844738667,823.0319999999999,2.556,515826.04
192,Shantaram,Gregory David Roberts,Intermediate,4.26,95213,fiction,476.19,0.0,0.99,211,"Amazon Digital Services,  Inc.",481,2,3.869480324209767,476.19,0.0,405607.38
193,From Dead to Worse,Charlaine Harris,Intermediate,4.01,151095,fiction,475.2,285.12,0.99,212,"Amazon Digital Services,  Inc.",480,2,3.874701186924434,190.07999999999998,0.594,605890.95
194,The Waste Lands,"Stephen King, Ned Dameron",Intermediate,4.24,117483,fiction,1429.22,0.0,2.99,213,"Amazon Digital Services,  Inc.",478,2,3.8999914898435883,1429.22,0.0,498127.92000000004
195,The Bone Collector,Jeffery Deaver,Intermediate,4.18,120541,fiction,5253.22,3151.932,10.99,213,Random House LLC,478,2,3.886455357154924,2101.2880000000005,6.593999999999999,503861.37999999995
196,Der Vorleser,"Bernhard Schlink, Carol Brown Janeway",Intermediate,3.73,119911,fiction,1423.24,0.0,2.99,214,"Amazon Digital Services,  Inc.",476,2,3.7505450586373916,1423.24,0.0,447268.02999999997
197,"Brown Bear, Brown Bear, What Do You See?","Bill Martin Jr., Eric Carle",Intermediate,4.19,125668,fiction,2375.24,1425.144,4.99,214,Hachette Book Group,476,2,3.8966912636938162,950.0959999999998,2.994,526548.92
198,Hyperion,Dan Simmons,Intermediate,4.21,122225,fiction,470.25,0.0,0.99,215,"Amazon Digital Services,  Inc.",475,2,3.897865439663628,470.25,0.0,514567.25
199,The Pearl of the World,John Steinbeck,Novice,3.41,133264,fiction,470.25,282.15,0.99,215,"Amazon Digital Services,  Inc.",475,1,3.3728864414527,188.10000000000002,0.594,454430.24
200,The Exorcist,William Peter Blatty,Intermediate,4.14,124467,fiction,1399.32,0.0,2.99,219,"Amazon Digital Services,  Inc.",468,2,3.8800230844771475,1399.32,0.0,515293.37999999995
201,The Short Second Life of Bree Tanner,Stephenie Meyer,Intermediate,3.51,145874,fiction,461.34,0.0,0.99,220,"Amazon Digital Services,  Inc.",466,2,3.718592347621371,461.34,0.0,512017.74
202,Snow Falling on Cedars,David Guterson,Intermediate,3.8,131945,fiction,1393.34,0.0,2.99,220,"Amazon Digital Services,  Inc.",466,2,3.788158491572305,1393.34,0.0,501391.0
203,Roots,Alex Haley,Famous,4.42,118951,fiction,460.35,276.21,0.99,221,Macmillan,465,3,4.256148699378778,184.14000000000004,0.594,525763.42
204,Batman: The Killing Joke ,"Alan Moore, Brian Bolland, Tim Sale",Intermediate,4.36,113855,fiction,455.4,273.24,0.99,224,Random House LLC,460,2,3.930542368827125,182.15999999999997,0.594,496407.80000000005
205,Invisible Man,Ralph Ellison,Intermediate,3.84,123073,fiction,455.4,0.0,0.99,224,"Amazon Digital Services,  Inc.",460,2,3.788066526293062,455.4,0.0,472600.32
206,A Long Way Gone. Memoirs of a Boy Soldier,Ishmael Beah,Intermediate,4.14,116260,fiction,3643.44,0.0,7.99,226,"Amazon Digital Services,  Inc.",456,2,3.868173621659791,3643.44,0.0,481316.39999999997
208,Different Seasons,Stephen King,Intermediate,4.34,105961,fiction,5000.45,3000.27,10.99,227,Simon and Schuster Digital Sales Inc,455,2,3.912060058750668,2000.1799999999998,6.594,459870.74
211,Wool Omnibus,Hugh Howey,Intermediate,4.24,81982,fiction,2250.49,1350.294,4.99,229,Penguin Group (USA) LLC,451,2,3.8374895225553907,900.1959999999997,2.994,347603.68
212,"Lamb: The Gospel According to Biff, Christ's Childhood Pal",Christopher Moore,Intermediate,4.26,118576,fiction,4792.5,2875.5,10.65,230,Random House LLC,450,2,3.907600183396234,1917.0,6.39,505133.75999999995
213,The Power of Now,Eckhart Tolle,Intermediate,4.1,104549,fiction,4771.2,2862.72,10.65,231,Penguin Group (USA) LLC,448,2,3.837729614861476,1908.48,6.39,428650.89999999997
214,Let's Pretend This Never Happened (A Mostly True Memoir),Jenny  Lawson,Intermediate,3.9,118475,fiction,443.52,266.112,0.99,231,"Amazon Digital Services,  Inc.",448,2,3.7994521532246646,177.40799999999996,0.5940000000000001,462052.5
215,The Lies of Locke Lamora,Scott Lynch,Intermediate,4.3,118751,fiction,1324.57,794.742,2.99,234,Simon and Schuster Digital Sales Inc,443,2,3.9198563730674754,529.828,1.7939999999999998,510629.3
216,Sabriel,Garth Nix,Intermediate,4.17,137047,fiction,8811.18,5286.708,19.98,235,Random House LLC,441,2,3.905749080830757,3524.4720000000007,11.988,571485.99
217,Dead and Gone,Charlaine Harris,Intermediate,4.01,145157,fiction,2175.64,1305.384,4.99,238,Random House LLC,436,2,3.867736390328499,870.2559999999999,2.994,582079.57
218,The Storyteller,Jodi Picoult,Intermediate,4.26,109313,fiction,430.65,0.0,0.99,239,"Amazon Digital Services,  Inc.",435,2,3.8934703144903478,430.65,0.0,465673.38
