index,book_name,author,author_rating,book_average_rating,book_ratings_count,genre,gross_sales,publisher_revenue,sale_price,sales_rank,publisher,units_sold
23,Voyager,Diana Gabaldon,Intermediate,4.38,157395,fiction,8171.67,0.0,2.99,24,"Amazon Digital Services,  Inc.",2733
25,Cujo,Stephen King,Intermediate,3.65,158215,fiction,7774.0,0.0,2.99,26,"Amazon Digital Services,  Inc.",2600
26,The Virgin Suicides,Jeffrey Eugenides,Intermediate,3.83,159249,fiction,26904.06,16142.436,10.91,28,Penguin Group (USA) LLC,2466
27,Dead to the World,Charlaine Harris,Intermediate,4.13,199572,fiction,2376.0,0.0,0.99,29,"Amazon Digital Services,  Inc.",2400
28,Tess of the d'Urbervilles: A Pure Woman Faithfully Presented,"Thomas Hardy, Tim Dolin, Margaret R. Higonnet",Intermediate,3.77,171599,nonfiction,9576.0,5745.6,3.99,29,Hachette Book Group,2400
29,Madame Bovary,"Gustave Flaubert, Margaret Mauldon, Malcolm Bowie, Mark Overstall",Intermediate,3.64,158877,fiction,9308.67,0.0,3.99,30,"Amazon Digital Services,  Inc.",2333
30,The Phantom Tollbooth,"Norton Juster, Jules Feiffer",Intermediate,4.22,178432,fiction,4509.34,0.0,1.99,31,"Amazon Digital Services,  Inc.",2266
31,The Way of Kings,Brandon Sanderson,Famous,4.64,144822,fiction,2178.0,0.0,0.99,32,"Amazon Digital Services,  Inc.",2200
32,Club Dead,Charlaine Harris,Intermediate,4.03,181323,fiction,13178.0,7906.8,5.99,32,HarperCollins Publishers,2200
33,It's Kind of a Funny Story,Ned Vizzini,Intermediate,4.14,161001,nonfiction,2045.34,1227.204,0.99,34,HarperCollins Publishers,2066
35,After You,Jojo Moyes,Intermediate,3.7,99342,fiction,1964.16,0.0,0.99,36,"Amazon Digital Services,  Inc.",1984
36,The Language of Flowers,Vanessa Diffenbaugh,Intermediate,4.07,140076,fiction,1964.16,1178.496,0.99,36,"Amazon Digital Services,  Inc.",1984
37,Batman: The Dark Knight Returns,"Frank Miller, Klaus Janson, Lynn Varley",Intermediate,4.25,135979,fiction,1949.31,0.0,0.99,37,"Amazon Digital Services,  Inc.",1969
38,The Angel Experiment,James Patterson,Intermediate,4.08,172302,fiction,1949.31,0.0,0.99,37,"Amazon Digital Services,  Inc.",1969
39,High Fidelity,Nick Hornby,Intermediate,3.94,134849,fiction,20309.55,12185.73,10.65,41,Random House LLC,1907
40,The Guardian,Nicholas Sparks,Intermediate,4.14,136427,fiction,1873.08,0.0,0.99,42,"Amazon Digital Services,  Inc.",1892
41,Oryx and Crake,Margaret Atwood,Intermediate,4.0,151500,fiction,7485.24,0.0,3.99,43,"Amazon Digital Services,  Inc.",1876
42,"Men Are from Mars, Women Are from Venus Book of Days: 365 Inspirations to Enrich Your Relationships",John Gray,Intermediate,3.52,113915,fiction,3703.39,2222.034,1.99,44,"Amazon Digital Services,  Inc.",1861
